itemId,section,title,responseType,instruction,criticalFail,requiresPhotoOnFail,appliesToModels,order,active
D-DOOR-01,Door System,Door opens and closes smoothly,PassFailNA,"Open and close the door fully using normal hand force only. The door should move freely without sticking, grinding, or needing excessive force.",True,True,All,10,True
D-DOOR-02,Door System,Door seats fully into sealing position,PassFailNA,Close the door fully and visually confirm it sits evenly against its sealing face or guides. There should be no visible gaps around the perimeter.,True,True,All,11,True
D-DOOR-03,Door System,No cracks/crazing/whitening/clouding,PassFailNA,"Inspect under good lighting from multiple angles. Look closely for hairline cracks, spider-web patterns, stress whitening or clouding. If unsure, change viewing angle to catch reflections.",True,True,HardShell/Winslet,12,True
D-DOOR-04,Door System,No chips/impact marks/edge damage,PassFailNA,"Visually inspect around the full door edge and surface. Any chips, impact marks, dents, or edge damage must be reported.",True,True,HardShell/Winslet,13,True
D-DOOR-05,Door System,Door retaining system fully engaged,PassFailNA,"Confirm all guides, rails, clamps, or retainers are in their normal operating position and fully engaged. No looseness or missing components.",True,True,All,14,True
D-DOOR-06,Door System,Door cannot be opened under pressure (gentle check),PassFailNA,"Once the chamber is lightly pressurised, do not force. Gently test that the door does not move or disengage. Stop immediately if any movement occurs.",True,False,All,15,True
D-WIN-01,Windows / Viewing Panels,Windows clear and unobstructed,PassFailNA,Wipe the surface if needed and confirm the window is clear with no residue or fogging.,False,False,All,20,True
D-WIN-02,Windows / Viewing Panels,No cracks/crazing/scratches/delamination,PassFailNA,"Inspect the full window surface under angled light. Look for cracks, star-crazing, deep scratches, delamination or lifting layers.",True,True,All,21,True
D-WIN-03,Windows / Viewing Panels,Window edges intact (no lifting/gaps),PassFailNA,"Inspect around the perimeter where the window meets the chamber. There should be no lifting, gaps, separation, or peeling.",True,True,All,22,True
D-WIN-04,Windows / Viewing Panels,No trapped condensation between layers (if laminated),PassFailNA,"Look for fog or moisture between layers (not surface mist). If present, note and report.",False,True,All,23,True
D-SHELL-01,Pressure Integrity / Shell,No dents/deformation/bulging (hard-shell),PassFailNA,"Walk around the chamber and visually inspect the body. Look for bulges, dents, or areas that appear misshapen.",True,True,HardShell/Winslet,30,True
D-SHELL-02,Pressure Integrity / Shell,No audible air leaks during inflation,PassFailNA,"During inflation, listen carefully around doors, windows, and fittings for hissing sounds.",True,False,All,31,True
D-PORT-01,Ports / Fittings,Hoses and fittings secure,PassFailNA,"Visually confirm hoses and fittings are straight, seated, and not pulling or twisting. Any looseness = fail.",True,True,All,32,True
D-VALVE-01,Valves & Controls,Main inlet valve operates smoothly,PassFailNA,Turn or actuate the valve slowly. It should move freely without sticking or grinding.,True,False,All,40,True
D-VALVE-02,Valves & Controls,Emergency dump / relief accessible,PassFailNA,"Confirm the valve is visible, reachable, and not blocked by equipment or furniture.",True,False,All,41,True
D-GAUGE-01,Valves & Controls,Pressure gauge returns to zero when off,PassFailNA,"With the chamber fully depressurised and off, the gauge needle must rest exactly at zero.",True,True,All,42,True
D-GAUGE-02,Valves & Controls,Gauge readable and undamaged,PassFailNA,"Confirm numbers are clear, needle intact, and no cracked lens.",True,True,All,43,True
D-ZIP-01,Soft-Shell Zips/Seals,Zip closes fully without resistance,PassFailNA,"Zip the chamber slowly. If force is required, stop and inspect — do not force.",True,True,SoftShell/XLPro,50,True
D-ZIP-02,Soft-Shell Zips/Seals,Zip teeth intact (no gaps/missing/bent),PassFailNA,"Visually inspect teeth for missing, bent, or misaligned sections.",True,True,SoftShell/XLPro,51,True
D-SEAM-01,Soft-Shell Zips/Seals,No fraying/tears/delamination near zip/seams,PassFailNA,"Inspect material near the zip/seams for peeling layers, loose fibres, or tears.",True,True,SoftShell/XLPro,52,True
D-ELEC-01,Electrical & Contamination,Cables/plugs intact,PassFailNA,"Inspect plugs and cables for cuts, kinks, exposed wires, or crushed sections.",True,True,All,60,True
D-O2-01,Electrical & Contamination,No oils/greases near oxygen/air components,PassFailNA,"Ensure no oily residues, sprays, or lubricants are near oxygen or air fittings/masks.",True,True,All,61,True
D-DECL-01,Declaration,Daily declaration accepted,PassFailNA,Tick to confirm checks completed truthfully; any defect reported; chamber safe to operate today.,True,False,All,99,True
