itemId,section,title,responseType,instruction,criticalFail,requiresPhotoOnFail,appliesToModels,order,active
M-DOOR-01,Door Integrity,Door micro-crack/crazing inspection (inside + outside),PassFailNA,"Under bright light, inspect both sides of the door. Use angled viewing to reveal stress patterns. Any cracks/crazing/whitening/clouding = fail and do not operate.",True,True,HardShell/Winslet,10,True
M-DOOR-02,Door Integrity,Door edges and corners free from chips/impact damage,PassFailNA,"Inspect all edges/corners closely. Any chip, impact mark, or damage = fail and report.",True,True,HardShell/Winslet,11,True
M-DOOR-03,Door Integrity,Door engagement depth/seat unchanged,PassFailNA,Close door and confirm it seats as normal with no new gaps. Compare with weekly photo if available.,True,True,All,12,True
M-DOOR-04,Door Integrity,Door retaining/guide system condition verified,PassFailNA,"Inspect guides/clamps/rails for wear, looseness, cracking, or missing parts. Hand-check only.",True,True,All,13,True
M-DOOR-05,Door Integrity,Upload required door photo set (monthly evidence),PassFailNA,"Upload close-ups of: (1) full closed door view, (2) door edge close-up, (3) door surface close-up.",False,False,All,14,True
M-WIN-01,Windows / Viewing Panels,Window surface integrity check (inside + outside),PassFailNA,"Inspect with angled light for cracks, crazing, scratches, star cracking, or delamination. Any defect = fail and do not operate.",True,True,All,20,True
M-WIN-02,Windows / Viewing Panels,Window perimeter/edge creep check,PassFailNA,"Inspect full perimeter for lifting, separation, gasket movement, compression, creep, or new gaps. Any change = fail.",True,True,All,21,True
M-WIN-03,Windows / Viewing Panels,Distortion/bowing appears normal under pressure,PassFailNA,"During the monthly video run, confirm window appearance under pressure is consistent with normal operation.",True,False,HardShell/Winslet,22,True
M-WIN-04,Windows / Viewing Panels,Upload required window photo set (monthly evidence),PassFailNA,Upload photos of each window from outside showing full perimeter. Include at least one close-up of edge/perimeter per window.,False,False,All,23,True
M-LEAK-01,Leak Test,Leak test completed at door perimeter,PassFailNA,Apply approved soap solution to door perimeter. Inflate to normal operating pressure. Check for bubbles. Any bubbles = fail and do not operate.,True,True,All,30,True
M-LEAK-02,Leak Test,Leak test completed at window perimeters,PassFailNA,Apply soap solution around each window perimeter. Inflate to normal pressure and check for bubbles. Any bubbles = fail.,True,True,All,31,True
M-LEAK-03,Leak Test,Leak test completed at ports/penetrations/fittings,PassFailNA,"Apply soap solution around ports, valves, bulkheads. Check for bubbles at pressure. Any bubbles = fail.",True,True,All,32,True
M-LEAK-04,Leak Test,Upload photo evidence of leak testing,PassFailNA,Upload at least 1 clear photo showing soap solution applied and inspection in progress.,False,False,All,33,True
M-VALVE-01,Valves / Relief / Controls,Main inlet valve condition verified,PassFailNA,Cycle open/close slowly. Must operate smoothly with no binding.,True,False,All,40,True
M-RELIEF-01,Valves / Relief / Controls,"Relief valve unobstructed, present, unmodified",PassFailNA,"Confirm relief/dump device is present, accessible, not taped/capped/adjusted, and outlet not blocked.",True,True,All,41,True
M-DUMP-01,Valves / Relief / Controls,Emergency dump/release functional test,PassFailNA,"During a controlled test at low-to-normal pressure, activate dump briefly and confirm pressure vents smoothly. Stop if abnormal.",True,False,All,42,True
M-GAUGE-01,Valves / Relief / Controls,"Gauge behaviour normal (smooth rise/fall, returns to zero)",PassFailNA,Observe during pressurisation and depressurisation. Gauge must not stick/jump and must return to zero when fully depressurised.,True,True,All,43,True
M-OP-01,Operational Pressure Test,Pressure hold test at normal operating pressure (5 minutes),PassFailNA,Inflate to normal operating pressure and hold for 5 minutes. Pressure should remain stable. Any instability/drift beyond normal = fail.,True,True,All,50,True
M-OP-02,Operational Pressure Test,Abnormal noise check during full cycle,PassFailNA,"Listen for new hissing, cracking, popping, rubbing, or unusual noises during inflate/hold/deflate. Any unusual noise = fail.",True,False,All,51,True
M-SHELL-01,Shell / Structure,"Shell condition (hard-shell): corrosion, dents, coating damage",PassFailNA,"Inspect around welds, feet, penetrations, door ring area. Any corrosion/pitting/flaking coating or dents/bulges = fail.",True,True,HardShell/Winslet,60,True
M-FRAME-01,Shell / Structure,Frame and supports stable (frame-supported models),PassFailNA,"Confirm frame is stable, level, no rocking. Confirm clips/attachments intact.",True,True,SoftShell/XLPro,61,True
M-CONTACT-01,Shell / Structure,No abrasion/rubbing points on soft-shell fabric,PassFailNA,"Inspect fabric where it contacts frame/floor/chair. Look for scuffs, thinning, abrasion, heat marks, or tears.",True,True,SoftShell/XLPro,62,True
M-ZIP-01,Soft-Shell / Zip / Seams,Zip track/teeth full inspection (monthly),PassFailNA,"Inspect full zip length. Any missing teeth, separation, misalignment, or damage = fail and do not operate.",True,True,SoftShell/XLPro,70,True
M-SEAM-01,Soft-Shell / Zip / Seams,Seam/weld integrity inspection (monthly),PassFailNA,"Inspect all seams, especially near penetrations and high-stress corners. Any peel/delamination/bubbling/lifting/tear = fail.",True,True,SoftShell/XLPro,71,True
M-BASE-01,Soft-Shell / Zip / Seams,Base/foam/chair placement compliance (monthly evidence),PassFailNA,"Confirm foam base is present and positioned correctly under the chair. If missing/damaged/incorrect, do not operate.",True,True,XLPro,72,True
M-ELEC-01,Electrical Safety,Visual electrical inspection (cables/plugs/extension use),PassFailNA,"Inspect cables for cuts, crushed sections, exposed wires. Confirm no permanent extension-lead setup.",True,True,All,80,True
M-RCD-01,Electrical Safety,RCD test (if fitted/used),PassFailNA,"Press TEST button on the RCD. Confirm it trips then resets correctly. If no RCD exists, select N/A and add note.",True,True,All,81,True
M-O2-01,Contamination / Cleaning,No oils/greases/unapproved sprays present,PassFailNA,"Confirm no oily residues, lubricants, aerosols, or creams near oxygen/air components and inside chamber.",True,True,All,90,True
M-CLEAN-01,Contamination / Cleaning,Cleaning completed using approved methods only,PassFailNA,Confirm cleaning completed and chamber is dry. Add note of cleaning agent used if required by site procedure.,False,False,All,91,True
M-LABEL-01,Labels / Traceability,Data plate/serial/ratings legible and present,PassFailNA,"Confirm serial and pressure rating label is present and readable. If missing, report.",True,True,All,100,True
M-SIGN-01,Labels / Traceability,Safety signage present and readable,PassFailNA,"Confirm signage (no oils/flames, max pressure, operator instructions) is present near the chamber.",False,True,All,101,True
M-VID-01,Monthly Video Evidence,Upload mandatory video evidence (30–60 seconds),PassFailNA,"Record one continuous video showing: inflation start, gauge rising to operating pressure, door and windows visible under pressure, and normal depressurisation. Ensure chamber identity is visible if practical.",True,False,All,110,True
M-DECL-01,Declaration,Monthly declaration accepted,PassFailNA,"I confirm all checks were completed accurately and truthfully. I understand inaccurate reporting, missed checks, or operating with defects may void warranty and may require inspection/service.",True,False,All,120,True
