itemId,section,title,responseType,instruction,criticalFail,requiresPhotoOnFail,appliesToModels,order,active
W-DOOR-01,Door System,Door surfaces and edges free from micro-cracks/crazing,PassFailNA,"Inspect door inside and outside under bright light. Change viewing angle to catch reflections. Look for hairline cracks, spider-web patterns, whitening, clouding or stress marks.",True,True,HardShell/Winslet,10,True
W-DOOR-02,Door System,"Door alignment unchanged (square seating, even engagement)",PassFailNA,Close door and visually confirm it seats evenly with no new gaps. Compare to normal appearance. Any change from usual fit = fail.,True,True,All,11,True
W-DOOR-03,Door System,Door retaining/locking/guide system secure,PassFailNA,"Confirm rails/clamps/guides are present, correctly positioned, and not loose. Gently test for movement by hand (no tools).",True,True,All,12,True
W-DOOR-04,Door System,Door sealing/contact faces clean and undamaged,PassFailNA,"Wipe contact/sealing surfaces. Check for cuts, nicks, dents, embedded debris, or uneven wear.",True,True,All,13,True
W-DOOR-05,Door System,Door under-pressure gentle movement check,PassFailNA,"Inflate to a low pressure (per normal operation). Without force, gently test that the door cannot move or disengage. Stop immediately if any movement occurs.",True,False,All,14,True
W-DOOR-06,Door System,Upload external photo of door closed (weekly evidence),PassFailNA,Take a clear photo of the door closed from outside showing the full perimeter/seat area.,False,False,All,15,True
W-WIN-01,Windows / Viewing Panels,Windows free from cracks/crazing/scratches/delamination,PassFailNA,Inspect each window inside and outside using angled light. Look especially at corners/edges for stress marks or star cracking.,True,True,All,20,True
W-WIN-02,Windows / Viewing Panels,Window edges/perimeter intact (no lifting/gaps/creep),PassFailNA,"Inspect the full perimeter where the window meets the vessel. Look for lifting, separation, gasket movement, edge creep, compression marks, or new gaps.",True,True,All,21,True
W-WIN-03,Windows / Viewing Panels,Distortion check (no abnormal bowing change),PassFailNA,"Look through the window at a straight edge (door frame/wall line). If distortion looks worse than normal, note and report.",True,True,HardShell/Winslet,22,True
W-WIN-04,Windows / Viewing Panels,Upload photo of each window (weekly evidence),PassFailNA,Take clear photos of each window from outside. Ensure edges/perimeter are visible.,False,False,All,23,True
W-SHELL-01,Shell / Structure,"Shell exterior free from dents, bulges, deformation (hard-shell)",PassFailNA,Walk around the vessel and visually inspect. Any new dent/bulge/deformation = fail and report.,True,True,HardShell/Winslet,30,True
W-SHELL-02,Shell / Structure,Corrosion check (hard-shell),PassFailNA,"Inspect around seams, welds, feet, under door area, and around penetrations for rust, pitting, blistering paint, or corrosion staining.",True,True,HardShell/Winslet,31,True
W-FRAME-01,Shell / Structure,Frame level and stable (frame-supported models),PassFailNA,"Confirm frame stands square, does not rock, and all fasteners/clips are intact.",True,True,SoftShell/XLPro,32,True
W-CONTACT-01,Shell / Structure,No sharp edges or rubbing points contacting soft-shell fabric,PassFailNA,"Inspect all frame contact points. Confirm no sharp corners, burrs, or abrasion zones against TPU/fabric.",True,True,SoftShell/XLPro,33,True
W-PORT-01,Ports / Penetrations,Penetrations secure (no movement at bulkheads/ports),PassFailNA,Visually inspect each penetration. Gently hand-check for looseness (no tools). Any movement = fail.,True,True,All,40,True
W-HOSE-01,Ports / Penetrations,"Hoses free from kinks, cracking, flattening, damage",PassFailNA,"Inspect full hose length. Look for splits, crushed sections, brittleness, or loose ends.",True,True,All,41,True
W-CLAMP-01,Ports / Penetrations,Clamps/fittings seated and correctly oriented,PassFailNA,"Confirm clamps are in place and fittings are fully seated. Any cross-threading, wobble, or missing clamp = fail.",True,True,All,42,True
W-VALVE-01,Valves / Relief / Gauge,Main inlet valve smooth operation,PassFailNA,Cycle the valve slowly (open/close). Must not stick or grind.,True,False,All,50,True
W-RELIEF-01,Valves / Relief / Gauge,Relief / dump valve unobstructed and unmodified,PassFailNA,"Confirm it is accessible, not taped, not capped, not altered, and outlet not blocked.",True,True,All,51,True
W-GAUGE-01,Valves / Relief / Gauge,Gauge reads consistently (basic sanity check),PassFailNA,"Inflate to normal pressure and observe gauge moves smoothly without jumping/sticking. When depressurised, returns to zero.",True,True,All,52,True
W-OP-01,Operational Pressure Hold,Pressure hold test (2–3 minutes at normal operating pressure),PassFailNA,Inflate to normal operating pressure. Observe gauge for at least 2–3 minutes. Pressure should remain stable. Any drift/instability = fail.,True,True,All,60,True
W-OP-02,Operational Pressure Hold,No abnormal sounds during pressurisation/hold/depressurisation,PassFailNA,Listen near door/windows/ports during full cycle. Any new unusual noise = fail and report.,True,False,All,61,True
W-ZIP-01,Soft-Shell Weekly,Zip track and teeth condition (full length),PassFailNA,"Inspect full zip length. Look for missing teeth, misalignment, worn track, or separation.",True,True,SoftShell/XLPro,70,True
W-SEAM-01,Soft-Shell Weekly,Seams/welds intact (no peeling/delamination/bubbling),PassFailNA,"Inspect all welded seams (especially near ports and high-stress corners). Look for lifting layers, bubbles, or edge peel.",True,True,SoftShell/XLPro,71,True
W-FLOOR-01,Soft-Shell Weekly,Floor/foam condition and placement confirmed (XL Pro),PassFailNA,"Confirm protective foam/base is intact and positioned exactly as required. If torn/missing/incorrect, do not operate.",True,True,XLPro,72,True
W-LABEL-01,Labels / Environment,Data plate & serial number present and legible,PassFailNA,"Confirm serial/ratings are readable and unchanged. If missing/illegible, report.",True,True,All,80,True
W-SIGN-01,Labels / Environment,Safety signage present (No oils/No flames/Max pressure),PassFailNA,Confirm signage is present near the chamber and readable.,False,True,All,81,True
W-O2-01,Labels / Environment,No oils/greases or contamination near oxygen/air components,PassFailNA,"Check around hoses, masks, fittings, and interior for oily residues or unapproved sprays/cleaners.",True,True,All,82,True
W-DECL-01,Declaration,Weekly declaration accepted,PassFailNA,Confirm checks completed truthfully and defects reported.,True,False,All,99,True
